@RELATION CATEGORY
@ATTRIBUTE class   {NNHEAD,QUOTED,SIG,#BLANK#,TABLE,GRAPHIC,HEADL,ADDRESS,ITEM,PTEXT}
@ATTRIBUTE blockLen   NUMERIC
@ATTRIBUTE nnheadlikelihood   NUMERIC
@ATTRIBUTE quotedlikelihood   NUMERIC
@ATTRIBUTE signatureImportant   {1,0}
@ATTRIBUTE signaturelikelihood   NUMERIC
@ATTRIBUTE graphiclikelihood   NUMERIC
@ATTRIBUTE tablelikelihood   NUMERIC
@ATTRIBUTE addresslikelihood   NUMERIC
@ATTRIBUTE itemlikelihood   NUMERIC
@ATTRIBUTE headerEndinPeriod   {1,0}
@ATTRIBUTE headerCapitalized   NUMERIC
@ATTRIBUTE headerIndented   NUMERIC
@ATTRIBUTE wordsperline   NUMERIC
@ATTRIBUTE blankperline   NUMERIC
@DATA
HEADL,1,0,0.0,0,0.0,0.0,0.0,0.0,0,0,2.0,21.0,5.0,24.0
PTEXT,2,0,0.0,0,0.0,0.0,9.0,0.0,0,0,0.45,1.0,10.0,9.5
PTEXT,2,0,0.0,0,0.0,0.0,9.0,0.0,0,0,0.45,1.0,10.0,9.5
ADDRESS,5,0,0.0,0,0.0,0.0,2.16,0.4,1,0,1.0,21.0,5.2,24.2
ADDRESS,5,0,0.0,0,0.0,0.0,2.16,0.4,1,0,1.0,21.0,5.2,24.2
ADDRESS,5,0,0.0,0,0.0,0.0,2.16,0.4,1,0,1.0,21.0,5.2,24.2
ADDRESS,5,0,0.0,0,0.0,0.0,2.16,0.4,1,0,1.0,21.0,5.2,24.2
ADDRESS,5,0,0.0,0,0.0,0.0,2.16,0.4,1,0,1.0,21.0,5.2,24.2
ADDRESS,2,0,0.0,0,0.0,3.0,4.0,1.5,0,0,0.7,21.0,5.0,24.0
ADDRESS,2,0,0.0,0,0.0,3.0,4.0,1.5,0,0,0.7,21.0,5.0,24.0
PTEXT,2,0,0.0,0,0.0,1.0,4.0,0.0,0,0,0.35,1.0,10.0,9.0
PTEXT,2,0,0.0,0,0.0,1.0,4.0,0.0,0,0,0.35,1.0,10.0,9.0
PTEXT,2,0,0.0,0,0.0,0.0,9.0,0.0,0,0,0.5625,1.0,8.0,7.5
PTEXT,2,0,0.0,0,0.0,0.0,9.0,0.0,0,0,0.5625,1.0,8.0,7.5
PTEXT,2,0,0.0,0,0.0,0.0,49.0,0.5,1,0,0.388888888889,1.0,9.0,8.5
PTEXT,2,0,0.0,0,0.0,0.0,49.0,0.5,1,0,0.388888888889,1.0,9.0,8.5
PTEXT,1,0,0.0,0,0.0,1.0,0.0,1.0,0,0,0.272727272727,1.0,11.0,11.0
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
NNHEAD,15,6,0.0,0,0.0,0.4,3.02222222222,0.0666666666667,0,0,0.892307692308,1.0,4.33333333333,3.33333333333
